ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2004-07-01,13.948486500195406,11.737470216307848,17.475309764038926,13.948486500195406,13.948486500195406,0.5374535291494297,0.5374535291494297,0.5374535291494297,0.6237206475627918,0.6237206475627918,0.6237206475627918,-0.08626711841336206,-0.08626711841336206,-0.08626711841336206,0.0,0.0,0.0,14.485940029344835
2004-07-02,13.94312486821375,11.47859525653291,17.466604670443633,13.94312486821375,13.94312486821375,0.5595408766383672,0.5595408766383672,0.5595408766383672,0.6442113408373852,0.6442113408373852,0.6442113408373852,-0.08467046419901803,-0.08467046419901803,-0.08467046419901803,0.0,0.0,0.0,14.502665744852118
2004-07-06,13.921678340287126,11.430333741112431,17.208287295062707,13.921678340287126,13.921678340287126,0.5242683876592784,0.5242683876592784,0.5242683876592784,0.6084948208288092,0.6084948208288092,0.6084948208288092,-0.08422643316953096,-0.08422643316953096,-0.08422643316953096,0.0,0.0,0.0,14.445946727946405
2004-07-07,13.91631670830547,11.45049488678655,17.23980975842576,13.91631670830547,13.91631670830547,0.5452115918939995,0.5452115918939995,0.5452115918939995,0.6303748478267428,0.6303748478267428,0.6303748478267428,-0.08516325593274338,-0.08516325593274338,-0.08516325593274338,0.0,0.0,0.0,14.461528300199468
2004-07-08,13.910955076323814,11.40627122842647,17.39091996518878,13.910955076323814,13.910955076323814,0.5374664122070363,0.5374664122070363,0.5374664122070363,0.6237206475634144,0.6237206475634144,0.6237206475634144,-0.08625423535637806,-0.08625423535637806,-0.08625423535637806,0.0,0.0,0.0,14.448421488530851
2004-07-09,13.905593444342157,11.349941653532603,17.25881591909531,13.905593444342157,13.905593444342157,0.5568770205147007,0.5568770205147007,0.5568770205147007,0.6442113408374787,0.6442113408374787,0.6442113408374787,-0.08733432032277796,-0.08733432032277796,-0.08733432032277796,0.0,0.0,0.0,14.462470464856858
2004-07-12,13.889508548397188,11.457686743522137,17.339688476248416,13.889508548397188,13.889508548397188,0.5226582988599793,0.5226582988599793,0.5226582988599793,0.6113980908400715,0.6113980908400715,0.6113980908400715,-0.08873979198009221,-0.08873979198009221,-0.08873979198009221,0.0,0.0,0.0,14.412166847257168
2004-07-13,13.884146916415531,11.521864171668232,17.324160503607214,13.884146916415531,13.884146916415531,0.5204869922934238,0.5204869922934238,0.5204869922934238,0.6084948208281807,0.6084948208281807,0.6084948208281807,-0.08800782853475694,-0.08800782853475694,-0.08800782853475694,0.0,0.0,0.0,14.404633908708956
2004-07-14,13.878785284433876,11.661085522146303,17.553907698696012,13.878785284433876,13.878785284433876,0.543972980101727,0.543972980101727,0.543972980101727,0.6303748478267603,0.6303748478267603,0.6303748478267603,-0.08640186772503343,-0.08640186772503343,-0.08640186772503343,0.0,0.0,0.0,14.422758264535602
2004-07-15,13.87342365245222,11.249809211348978,17.350117201559215,13.87342365245222,13.87342365245222,0.5399391202465945,0.5399391202465945,0.5399391202465945,0.623720647564037,0.623720647564037,0.623720647564037,-0.08378152731744253,-0.08378152731744253,-0.08378152731744253,0.0,0.0,0.0,14.413362772698814
